float_pop,region
165306156.42767602,강남구
94131566.60099268,강동구
65474933.31734847,강북구
135718003.0964968,강서구
105772803.61646175,관악구
83546989.55397752,광진구
119065215.8555308,구로구
83602914.10945712,금천구
126413304.3232065,노원구
82947675.65601932,도봉구
92717107.02271336,동대문구
92155253.72605652,동작구
90456732.939618,마포구
68562461.04959552,서대문구
114760739.11694013,서초구
73702068.8878746,성동구
88942148.8333969,성북구
142901063.34842563,송파구
96667979.57436548,양천구
135898840.5799525,영등포구
64783544.395229,용산구
98941762.83112133,은평구
56141782.99480675,종로구
66498458.596042775,중구
94823495.20318943,중랑구
