region,pop,float_pop,cnt
종로구,152211,56141782.99480675,1549
중구,130785,66498458.596042775,1146
용산구,233284,64783544.395229,1246
성동구,288234,73702068.8878746,1325
광진구,351252,83546989.55397752,1224
동대문구,353601,92717107.02271336,1248
중랑구,390140,94823495.20318943,1002
성북구,441984,88942148.8333969,954
강북구,297702,65474933.31734847,649
도봉구,313989,82947675.65601932,859
노원구,508014,126413304.3232065,1544
은평구,470602,98941762.83112133,1158
서대문구,319554,68562461.04959552,1182
마포구,375585,90456732.939618,1784
양천구,444010,96667979.57436548,1478
강서구,574638,135718003.0964968,2754
구로구,418418,119065215.8555308,1376
금천구,242818,83602914.10945712,865
영등포구,398085,135898840.5799525,2127
동작구,390432,92155253.72605652,910
관악구,501226,105772803.61646175,958
서초구,408451,114760739.11694013,1769
강남구,534103,165306156.42767602,1817
송파구,664514,142901063.34842563,2722
강동구,464037,94131566.60099268,1524
